,bids_name,aor,aqi,dummy_trs,dvars_nstd,dvars_std,dvars_vstd,efc,fber,fd_mean,fd_num,fd_perc,fwhm_avg,fwhm_x,fwhm_y,fwhm_z,gcor,gsr_x,gsr_y,size_t,size_x,size_y,size_z,snr,spacing_tr,spacing_x,spacing_y,spacing_z,summary_bg_k,summary_bg_mad,summary_bg_mean,summary_bg_median,summary_bg_n,summary_bg_p05,summary_bg_p95,summary_bg_stdv,summary_fg_k,summary_fg_mad,summary_fg_mean,summary_fg_median,summary_fg_n,summary_fg_p05,summary_fg_p95,summary_fg_stdv,tsnr,sub,ses,task,run
14,sub-CBPD0018_ses-02_task-rest_run-01_bold,0.009655625,0.023870622916666667,0,74.98271000397496,1.184308628786612,1.003211265774059,0.5351111361441507,488.5140380859375,0.8730847792222968,43,17.916666666666668,3.586065,3.250025,3.66289,3.8452800000000003,0.0122137,0.011503235436975956,0.047459986060857766,240,96,96,75,2.020854493327118,2.0,2.0,2.0,2.0,24.068125380913077,103.05938720703124,453.5148010253906,255.0916748046875,423845.0,167.3416748046875,1483.549291992187,550.2542114257811,1.4058224233573258,2402.853759765625,6633.00244140625,5916.52099609375,173565.0,3162.02265625,12496.933984374995,2927.723876953125,21.061115264892575,CBPD0018,2,rest,1
16,sub-CBPD0018_ses-03_task-rest_run-01_bold,0.0016484713375796178,0.004699606560509554,0,42.137996086666654,1.3047180149358977,1.031145521217948,0.5448377143054366,464.4226989746094,0.11535249942373585,0,0.0,3.293703333333333,3.04222,3.44976,3.38913,0.00835331,0.014910263940691946,0.03558829799294472,157,96,96,75,2.1530369435648717,2.0,2.0,2.0,2.0,23.419782841582943,106.57737731933594,501.6842651367188,270.19744873046875,421436.0,180.6178436279297,1718.9761047363281,654.0650634765625,1.1334580916572214,2546.921875,6747.3388671875,6215.2451171875,174988.0,2959.6656982421873,12317.0541015625,2886.725830078125,50.04935836791992,CBPD0018,3,rest,1
17,sub-CBPD0018_ses-03_task-rest_run-02_bold,0.0037950943396226414,0.006397949056603773,0,46.12993438335445,1.2600658376582277,1.023272265696202,0.5458485690930812,457.5113830566406,0.18778171317543213,2,1.2578616352201255,3.328078333333333,3.06208,3.477315,3.44484,0.00976575,0.015274860896170141,0.03551874682307244,159,96,96,75,2.1533435108007257,2.0,2.0,2.0,2.0,22.938204987713963,110.5470962524414,507.7604675292969,273.32388305664057,421128.0,178.83018493652344,1746.6769775390626,662.8297729492188,1.1394525111088971,2554.728515625,6761.57177734375,6230.39599609375,175389.0,2966.0037109375,12358.471093750002,2893.350830078125,41.71401977539063,CBPD0018,3,rest,2
18,sub-CBPD0020_ses-01_task-rest_run-01_bold,0.0019872666666666664,0.006305991133333334,0,41.80543194201342,1.243139660939598,0.9832020306040269,0.5041324531538796,752.83056640625,0.14814607520772224,0,0.0,3.17596,2.938085,3.367475,3.22232,0.0177847,-0.01876330748200417,0.049868650734424584,150,96,96,75,2.2615902898945097,2.0,2.0,2.0,2.0,32.396626825500235,55.11327743530274,395.6358642578125,222.32000732421875,447983.0,176.02667236328125,1252.8367431640613,526.2179565429689,1.0459709184782149,2603.07373046875,7062.8515625,6531.36328125,152726.0,3425.5800170898438,12700.92041015625,2887.942138671875,43.39554977416992,CBPD0020,1,rest,1
19,sub-CBPD0020_ses-02_task-rest_run-01_bold,0.0014188297872340426,0.0032099040425531923,0,38.96385537451611,1.3186917064516128,1.03068255827957,0.5077027452656225,751.9193115234375,0.09956404241960354,0,0.0,3.0740416666666666,2.84085,3.3927300000000002,2.9885450000000002,0.015790799999999997,-0.01784292794764042,0.05866846069693565,94,96,96,75,2.3511273031197915,2.0,2.0,2.0,2.0,27.62612636452853,57.931907653808594,414.0941467285156,226.7234039306641,449380.0,178.5,1390.9158630371091,537.5501708984375,0.9250894238907988,2631.36669921875,7142.66259765625,6631.654296875,151272.0,3527.9737915039063,12469.956591796872,2820.6181640625,58.03113555908203,CBPD0020,2,rest,1
20,sub-CBPD0020_ses-02_task-rest_run-02_bold,0.0006461386138613862,0.003435788118811881,0,40.29199726388062,1.3085516838308449,1.0103905217910452,0.5080570227224167,755.309326171875,0.09529385861020886,0,0.0,3.0872233333333328,2.8565,3.4040199999999996,3.00115,0.014229200000000001,-0.01797428354620934,0.0594397746026516,202,96,96,75,2.3390598477170776,2.0,2.0,2.0,2.0,27.28778114353612,57.71138381958008,417.303955078125,226.89108276367188,448791.0,178.84652709960938,1412.53466796875,547.7327880859375,0.9363321887270972,2646.22119140625,7172.248046875,6659.91064453125,151900.0,3523.4689086914063,12570.48100585937,2847.250244140625,57.59831237792969,CBPD0020,2,rest,2
21,sub-CBPD0020_ses-02_task-rest_run-03_bold,0.0021357055214723925,0.0053862765644171785,0,39.93029499037039,1.1895731543827168,0.9661483622839506,0.5082624870494736,751.8846435546875,0.1205525218813191,1,0.6134969325153374,3.1429766666666663,2.8997450000000002,3.4554650000000002,3.0737200000000002,0.0298936,-0.018464410677552227,0.06016562506556511,163,96,96,75,2.321463607996257,2.0,2.0,2.0,2.0,27.23475630328452,60.404685974121094,422.39971923828125,228.2944793701172,448257.0,178.77914428710938,1436.9447265624985,556.2616577148439,0.9431437031754868,2672.85888671875,7216.72705078125,6693.5859375,152440.0,3523.0725708007812,12700.136621093747,2883.337890625,43.90806579589844,CBPD0020,2,rest,3
22,sub-CBPD0023_ses-01_task-rest_run-01_bold,0.005234733333333334,0.010067741666666666,0,48.91845200040269,1.1166609654362418,0.9938092954362416,0.5291846871033183,652.3587646484375,0.391763800563404,9,6.0,3.189493333333333,2.872405,3.543165,3.15291,0.0120253,-0.005078963004052639,0.05351753160357475,150,96,96,75,2.5535847840166106,2.0,2.0,2.0,2.0,29.44460661772571,54.74755859375,393.1559753417969,219.1800079345703,436134.0,169.72666931152344,1356.7830444335927,539.67626953125,0.3778228294005377,2251.440185546875,6289.7998046875,5945.16015625,162657.0,3091.537353515625,10509.381640624997,2328.1552734375,32.26562118530273,CBPD0023,1,rest,1
23,sub-CBPD0023_ses-01_task-rest_run-02_bold,0.011100666666666668,0.009396313266666664,0,44.33240155718123,1.1961118591275175,1.2489824999328865,0.5281058246717053,661.6146240234375,0.31161819279452385,4,2.6666666666666665,3.1671666666666667,2.849945,3.4901449999999996,3.16141,0.0317828,-0.004508775193244219,0.052381187677383416,150,96,96,75,2.573105335165341,2.0,2.0,2.0,2.0,32.24103684108732,53.4626350402832,390.7738037109375,218.0066680908203,436860.0,168.33334350585938,1358.6337524414062,548.9608764648439,0.4640270390401362,2232.0078125,6304.09765625,5963.8232421875,162036.0,3128.726806640625,10525.45703125,2317.74609375,33.256500244140625,CBPD0023,1,rest,2
24,sub-CBPD0023_ses-02_task-rest_run-01_bold,0.006122241379310345,0.010485790574712644,0,46.992843992023104,1.201131714277456,1.0238274802890177,0.5290055609967579,629.0401000976562,0.2923793498940066,7,4.022988505747127,3.2027783333333333,2.8853299999999997,3.492805,3.2302,0.0180105,-0.007077733054757119,0.05749927461147308,174,96,96,75,2.4355087479424817,2.0,2.0,2.0,2.0,26.04545990428403,53.85934448242188,397.2337341308594,220.25286865234372,434993.0,172.59194946289062,1400.7838867187438,544.4197387695311,1.0353129106944283,2188.40625,6271.63671875,5865.1552734375,163563.0,3148.16376953125,10851.354882812497,2408.177490234375,33.30490875244141,CBPD0023,2,rest,1
25,sub-CBPD0023_ses-02_task-rest_run-02_bold,0.005406629213483146,0.00995561438202247,0,47.421734664802216,1.1229575558757063,0.9777767020903951,0.5290937481728479,630.1278076171875,0.31165931807807895,11,6.179775280898878,3.226741666666667,2.918535,3.517325,3.244365,0.0169532,-0.007590899709612131,0.05817047134041786,178,96,96,75,2.4200694687384945,2.0,2.0,2.0,2.0,27.45227755639926,55.09782409667969,401.2093811035156,221.12359619140625,434395.0,172.05618286132812,1421.6741943359368,559.4579467773439,1.0606201201505057,2203.804931640625,6311.28125,5894.75830078125,164083.0,3169.7798828125,10954.889550781247,2435.773193359375,32.78995513916016,CBPD0023,2,rest,2
27,sub-CBPD0023_ses-03_task-rest_run-01_bold,0.0028741358024691357,0.0038122719753086423,0,35.24772596639749,1.1870766727950317,1.0298036970807452,0.5373195282308858,607.8380737304688,0.1410667779992301,1,0.6172839506172839,3.1552150611570515,2.889685,3.497825,3.0781351834711543,0.0248106,-0.008580194786190987,0.07225702702999115,162,96,96,75,2.3299032936216606,2.0,2.0,2.0,1.9999998807907104,23.99991937732395,62.48893737792969,486.770751953125,231.96913146972656,434196.0,177.12962341308594,1928.2407836914065,726.7413330078125,0.1505409251175216,2577.517822265625,6581.4892578125,6127.46923828125,163988.0,3031.3108154296883,11422.918261718747,2629.916259765625,49.95515441894531,CBPD0023,3,rest,1
28,sub-CBPD0023_ses-03_task-rest_run-02_bold,0.002190602409638554,0.003786187469879519,0,33.74225792145455,1.1798705060606056,1.0481082939393929,0.5377806436434583,607.464111328125,0.11941265929026725,0,0.0,3.168895061558389,2.902735,3.505615,3.0983351846751677,0.012446500000000001,-0.009978006593883038,0.07289469987154007,166,96,96,75,2.32068242951204,2.0,2.0,2.0,1.9999998807907104,24.6192324382666,64.1448974609375,490.69268798828125,232.2650451660156,433416.0,176.6144561767578,1968.3568725585935,737.1567993164062,0.15147807045565242,2589.66845703125,6601.73388671875,6141.322265625,164624.0,3029.0460571289063,11479.026171875,2646.335205078125,50.6114273071289,CBPD0023,3,rest,2
33,sub-CBPD0025_ses-01_task-rest_run-01_bold,0.004149933333333333,0.004352905933333333,0,41.293300987114094,1.3139875551677849,1.0532580718120803,0.5031282811983012,780.1840209960938,0.2281111744731036,1,0.6666666666666666,3.3253383948956965,3.0985351846870888,3.61294,3.26454,0.0299862,-0.009459372609853745,0.054211486130952835,150,96,96,75,2.0771016712140136,2.0,1.9999998807907104,2.0,2.0,29.400004390537053,62.5064926147461,438.1495056152344,230.9133453369141,444281.0,177.73333740234375,1609.7867431640625,627.6649780273438,1.0087517319197792,2947.77880859375,7682.59375,6940.29345703125,155445.0,3556.598779296876,14200.787304687496,3341.32470703125,49.97539901733398,CBPD0025,1,rest,1
35,sub-CBPD0026_ses-01_task-rest_run-01_bold,0.03236178571428572,0.015223203214285715,0,73.48823672254545,1.3958466883636358,1.1972454792727276,0.5257191800512288,711.1566162109375,0.9052908513450332,9,16.071428571428573,3.160578333333333,2.875455,3.4418599999999997,3.1644200000000002,0.016086000000000003,-0.018312109634280205,0.04911710694432258,56,96,96,75,2.3601875422655767,2.0,2.0,2.0,2.0,33.782585356378824,59.56884384155274,381.12335205078125,227.2678680419922,425082.0,175.21429443359375,1244.0357666015625,467.5851745605469,0.3934702336538476,2727.3271484375,6981.27001953125,6490.71435546875,172311.0,3458.8482666015625,12103.31298828125,2750.076171875,24.48292732238769,CBPD0026,1,rest,1
