0,1,2,3,X3,scaefer7,schaefer17
0,1,0,0,227,7,15
0,0,1,0,379.5,7,15
0,0,1,0,357,7,15
0,0,1,0,379.5,7,15
0,0,1,0,390,7,15
0,0,1,0,373,7,15
0,1,0,0,195,7,15
0,0,1,0,333,7,15
0,0,1,0,316,7,15
0,0,1,0,366,7,15
0,0,1,0,387,7,15
0,0,1,0,382,7,15
0,0,1,0,374,7,15
0,0,1,0,388.5,7,15
0,0,1,0,320,7,15
0,0,1,0,336.5,7,15
0,0,1,0,358.5,7,15
0,0,1,0,326,7,15
0,1,0,0,213,7,15
0,1,0,0,208,7,15
1,0,0,0,113,7,15
0,1,0,0,229,7,16
0,1,0,0,186,7,16
0,1,0,0,190,7,16
0,0,1,0,297,7,16
0,0,1,0,334,7,16
0,1,0,0,215,7,16
0,1,0,0,217,7,16
0,1,0,0,196,7,17
0,1,0,0,231,7,17
0,1,0,0,204,7,17
0,1,0,0,187,7,17
0,0,1,0,294,7,17
0,1,0,0,238,7,17
